station,time,duration_sec,event_id,depot_time_local,offset_min,direction,name
K205,2026-09-09T14:53:00,120,coastal_classic_out_2026-09-09,06:45,8,south,"Coastal Classic, Anchorage -> Seward"
R1796,2026-09-09T14:53:00,120,coastal_classic_out_2026-09-09,06:45,8,south,"Coastal Classic, Anchorage -> Seward"
K208,2026-09-09T14:54:00,120,coastal_classic_out_2026-09-09,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
R6C15,2026-09-09T14:54:00,120,coastal_classic_out_2026-09-09,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
R8F48,2026-09-09T14:54:00,120,coastal_classic_out_2026-09-09,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
S909E,2026-09-09T14:54:00,120,coastal_classic_out_2026-09-09,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
K222,2026-09-09T15:15:00,120,coastal_classic_out_2026-09-09,06:45,30,south,"Coastal Classic, Anchorage -> Seward"
K223,2026-09-09T16:18:00,120,denali_star_out_2026-09-09,08:15,3,north,"Denali Star, Anchorage -> Fairbanks"
K217,2026-09-09T16:50:00,120,denali_star_out_2026-09-09,08:15,35,north,"Denali Star, Anchorage -> Fairbanks"
MS01,2026-09-09T17:30:00,120,denali_star_out_2026-09-09,08:15,75,north,"Denali Star, Anchorage -> Fairbanks"
K205,2026-09-09T17:53:00,120,glacier_discovery_out_2026-09-09,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R1796,2026-09-09T17:53:00,120,glacier_discovery_out_2026-09-09,09:45,8,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K208,2026-09-09T17:54:00,120,glacier_discovery_out_2026-09-09,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R6C15,2026-09-09T17:54:00,120,glacier_discovery_out_2026-09-09,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
R8F48,2026-09-09T17:54:00,120,glacier_discovery_out_2026-09-09,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
S909E,2026-09-09T17:54:00,120,glacier_discovery_out_2026-09-09,09:45,9,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
K222,2026-09-09T18:15:00,120,glacier_discovery_out_2026-09-09,09:45,30,south,"Glacier Discovery, Anchorage -> Whittier / Spencer"
MS01,2026-09-10T02:15:00,120,denali_star_back_2026-09-09,20:00,-105,north_arrival,"Denali Star, Fairbanks -> Anchorage"
K217,2026-09-10T03:20:00,120,denali_star_back_2026-09-09,20:00,-40,north_arrival,"Denali Star, Fairbanks -> Anchorage"
K223,2026-09-10T03:57:00,120,denali_star_back_2026-09-09,20:00,-3,north_arrival,"Denali Star, Fairbanks -> Anchorage"
K222,2026-09-10T04:45:00,120,glacier_discovery_back_2026-09-09,21:15,-30,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K208,2026-09-10T05:06:00,120,glacier_discovery_back_2026-09-09,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R6C15,2026-09-10T05:06:00,120,glacier_discovery_back_2026-09-09,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R8F48,2026-09-10T05:06:00,120,glacier_discovery_back_2026-09-09,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
S909E,2026-09-10T05:06:00,120,glacier_discovery_back_2026-09-09,21:15,-9,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K205,2026-09-10T05:07:00,120,glacier_discovery_back_2026-09-09,21:15,-8,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
R1796,2026-09-10T05:07:00,120,glacier_discovery_back_2026-09-09,21:15,-8,south_arrival,"Glacier Discovery, Whittier -> Anchorage"
K222,2026-09-10T05:45:00,120,coastal_classic_back_2026-09-09,22:15,-30,south_arrival,"Coastal Classic, Seward -> Anchorage"
K208,2026-09-10T06:06:00,120,coastal_classic_back_2026-09-09,22:15,-9,south_arrival,"Coastal Classic, Seward -> Anchorage"
R6C15,2026-09-10T06:06:00,120,coastal_classic_back_2026-09-09,22:15,-9,south_arrival,"Coastal Classic, Seward -> Anchorage"
R8F48,2026-09-10T06:06:00,120,coastal_classic_back_2026-09-09,22:15,-9,south_arrival,"Coastal Classic, Seward -> Anchorage"
S909E,2026-09-10T06:06:00,120,coastal_classic_back_2026-09-09,22:15,-9,south_arrival,"Coastal Classic, Seward -> Anchorage"
K205,2026-09-10T06:07:00,120,coastal_classic_back_2026-09-09,22:15,-8,south_arrival,"Coastal Classic, Seward -> Anchorage"
R1796,2026-09-10T06:07:00,120,coastal_classic_back_2026-09-09,22:15,-8,south_arrival,"Coastal Classic, Seward -> Anchorage"
K205,2026-09-12T14:53:00,120,coastal_classic_out_2026-09-12,06:45,8,south,"Coastal Classic, Anchorage -> Seward"
R1796,2026-09-12T14:53:00,120,coastal_classic_out_2026-09-12,06:45,8,south,"Coastal Classic, Anchorage -> Seward"
K208,2026-09-12T14:54:00,120,coastal_classic_out_2026-09-12,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
R6C15,2026-09-12T14:54:00,120,coastal_classic_out_2026-09-12,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
R8F48,2026-09-12T14:54:00,120,coastal_classic_out_2026-09-12,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
S909E,2026-09-12T14:54:00,120,coastal_classic_out_2026-09-12,06:45,9,south,"Coastal Classic, Anchorage -> Seward"
K222,2026-09-12T15:15:00,120,coastal_classic_out_2026-09-12,06:45,30,south,"Coastal Classic, Anchorage -> Seward"
