window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label
0,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:04:00.000000Z,2026-07-15T09:05:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.523141513438072,35.07357085167794,2.983255323226655,36.78975083355633,0.7170025049582404,5.42405766746621,11.147774112628019,,
1,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:05:00.000000Z,2026-07-15T09:06:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,7.540968334641407,55.78386737249487,7.115387575333995,58.264823606768495,0.8903133548351589,3.4319201275163733,7.864568502241893,,
2,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:14:00.000000Z,2026-07-15T09:15:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,6.615084320236568,60.483482373584586,6.337898218485629,59.69602707040772,0.9179515346964964,4.6059918728969205,11.772621793332979,,
3,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:16:00.000000Z,2026-07-15T09:17:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.495692283588137,16.75736890382301,2.85309864078923,13.954869575669793,0.666142560451743,2.501588934653822,0.39571400037320403,,
4,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:19:00.000000Z,2026-07-15T09:20:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,5.313228820547376,20.09537184305791,4.617599716576034,21.410868715957292,0.7552931154095494,2.00917083461198,0.3443493348907416,,
5,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:20:00.000000Z,2026-07-15T09:21:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,10.055964268437178,41.5237505907136,9.31216751432407,38.867701106300125,0.8575394662410502,1.9489814778553873,0.44726185684008124,,
6,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:38:00.000000Z,2026-07-15T09:39:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.041763504077653,10.411863311861326,2.552828990488665,10.63836163703426,0.7043565485893247,1.8603756441252928,-0.3795287549284523,,
7,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:39:00.000000Z,2026-07-15T09:40:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,3.108767099514611,12.333552364812293,2.756406399236665,10.494427556062668,0.7861585188555573,1.9298957779455783,-0.05858366834240414,,
8,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:43:00.000000Z,2026-07-15T09:44:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,2.966345162674141,11.40873060205906,2.413436424596831,7.874708757551077,0.6619548341402399,1.7368736622152536,-0.34329505631296575,,
9,,AK,K222,,HNZ,61.0876,-149.8366,2026-07-15T09:45:00.000000Z,2026-07-15T09:46:00.000000Z,100.0,200.0,60.0,,noise,0,Noise,events:arr_summer_2026.csv,AK,2.0-20.0,5.944781377778232,62.97717715764653,5.721022421707708,69.99723875498765,0.9261376162455791,6.39517087950685,18.542662786870565,,
