window_id,event_id,network,station,location,channel,latitude,longitude,start_time,end_time,sampling_rate,native_sampling_rate,window_len_sec,p_offset_sec,window_type,label,label_name,label_method,source,bandpass_hz,rms,peak,rms_band,peak_band,band_ratio,stalta_band_max,kurtosis_band,reviewed,review_label,reference_rms,band_active_sec,coincident_stations,rms_ratio
0,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T08:08:00.003000Z,2026-09-11T08:09:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,224.05950376948493,1060.0929175765812,71.72860232695396,503.7445311774405,0.10248445532131294,4.207312324831067,3.779831899485883,,,22.61574535402338,27,2,3.1716223013712574
1,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T08:27:00.003000Z,2026-09-11T08:28:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,218.51131851867896,1128.0938365758045,93.11848577344739,507.114597872054,0.18160338325388825,3.4526062573757876,2.81506114562674,,,25.4372867527962,29,2,3.6607082617886246
2,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:01:00.003000Z,2026-09-11T09:02:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,650.8855539167146,2935.0955411433383,100.21650523970405,696.6739676409109,0.023706598388727716,6.347726363259322,7.160201238618409,,,30.90340644983308,25,2,3.2428950964480276
3,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:08:00.003000Z,2026-09-11T09:09:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,268.6457227357864,966.904141010455,54.81119761759359,289.94243579524834,0.041627345950063906,3.5567761725049762,1.7515175036203185,,,30.90340644983308,12,0,1.7736296387445547
4,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:10:00.003000Z,2026-09-11T09:11:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,250.68708148421325,978.095951070001,40.90813161057399,150.14685135445467,0.02662903205400726,3.240663268047526,-0.2747885591596875,,,33.30821342921903,0,0,1.228169493314465
5,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:13:00.003000Z,2026-09-11T09:14:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,212.09870236405317,762.0961201235147,33.61956421861144,147.1070608452884,0.025125119530746958,1.5944797042438754,-0.2976793814057457,,,33.16494563279697,0,0,1.0137078043440206
6,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:14:00.003000Z,2026-09-11T09:15:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,247.6584826349194,950.0961435929127,33.30821342921903,121.14503852143274,0.018088237936246344,1.9856821133166045,-0.23328924805110818,,,33.16494563279697,0,0,1.0043198562122888
7,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:23:00.003000Z,2026-09-11T09:24:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,216.27372551398594,822.9033700243493,15.888659447354852,60.68914954009576,0.005397181093572288,2.0920665733681068,0.08943798713706963,,,24.670944336354733,0,0,0.6440231565818728
8,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:24:00.003000Z,2026-09-11T09:25:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,243.45757669976126,921.9033318250334,20.53094700327853,122.609973659086,0.007111666366622859,5.6248650668969,3.509594805287792,,,24.670944336354733,0,0,0.8321913714921904
9,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:25:00.003000Z,2026-09-11T09:26:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,303.2885327457805,1398.9032822685006,39.629219998840476,159.41307891877645,0.01707336279064798,1.8774231083924668,-0.3110040798089666,,,24.670944336354733,0,0,1.606311434963738
10,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:28:00.003000Z,2026-09-11T09:29:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,239.65485919413175,1011.9031268370858,40.08538399995869,216.40524904397608,0.027976901797954933,2.4537656469663682,0.6241927767503501,,,24.670944336354733,2,0,1.6248013636384995
11,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:29:00.003000Z,2026-09-11T09:30:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,304.0769186485236,1200.0969044691226,106.59874785538672,491.39421158080137,0.12289587195639808,2.6445103480144305,0.7760990018627627,,,24.670944336354733,54,2,4.320821546271515
12,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:30:00.003000Z,2026-09-11T09:31:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,275.87237678154025,1144.096961542429,57.23700237651577,272.321487951429,0.043046448708976816,1.8258382282010497,0.9135048308642206,,,22.41777113355512,25,2,2.5531977302972333
13,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:37:00.003000Z,2026-09-11T09:38:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,390.24625682251235,1864.902702927255,73.90503331395273,563.3669016534456,0.03586497579299406,4.8078002483179585,3.2651622636580475,,,24.67173382841245,24,2,2.9955346400844456
14,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:38:00.003000Z,2026-09-11T09:39:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,386.21856023157756,3379.097327279334,40.61139364116278,429.9725003250154,0.01105680130891901,6.36966897589145,15.342300392212575,,,24.67173382841245,5,0,1.6460697056642977
15,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:40:00.003000Z,2026-09-11T09:41:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,314.7858172822938,1350.0974615308512,69.03553612803316,368.4225360644659,0.04809667899078297,3.16346643512695,3.0940316980175755,,,25.13317429189415,16,2,2.746789375916524
16,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:41:00.003000Z,2026-09-11T09:42:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,283.3233949578937,1117.0974767695477,78.29601279614894,384.1732491940285,0.07636852775570713,1.5828626020424528,2.7191295871918744,,,25.13317429189415,18,2,3.115245686311922
17,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:48:00.003000Z,2026-09-11T09:49:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,253.05790035961692,1311.9021402689762,35.502657259372796,194.9187342076797,0.0196825751789905,3.178449209722161,1.9628216034499788,,,24.670944336354733,5,0,1.4390473577072043
18,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:51:00.003000Z,2026-09-11T09:52:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,194.82478341631943,714.9020349439055,16.33372768313269,126.75601530158393,0.007028816691197365,3.7871202524940357,2.842252228042782,,,24.67173382841245,0,0,0.6620421489924818
19,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T09:54:00.003000Z,2026-09-11T09:55:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,192.41166908915125,713.0981126178773,22.791002021244726,135.6200748651851,0.014030205281873086,5.842154558258211,2.9780634375613335,,,25.13317429189415,0,0,0.9068095321566758
20,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:02:00.003000Z,2026-09-11T10:03:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,413.3278952070576,1362.9014799090767,18.609712460113244,70.66638978544263,0.0020271687035957188,2.2675624875156255,-0.027044313333799863,,,32.97989823314886,0,0,0.5642744052317357
21,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:04:00.003000Z,2026-09-11T10:05:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,171.3348618653979,624.9013917675405,18.758616798013804,82.06028713533274,0.011986990078330123,2.3945216399729192,0.44447896944275556,,,30.482442204315827,0,0,0.6153908755827275
22,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:07:00.003000Z,2026-09-11T10:08:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,1792.0467084108925,6778.098786329076,143.1632081643683,725.5451173892702,0.006382108656967593,3.830266476884749,1.4163731012868928,,,32.97989823314886,56,2,4.340923284610735
23,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:08:00.003000Z,2026-09-11T10:09:00.003000Z,100.0,100.0,60.0,,aircraft,5,Aircraft,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,2247.526470757823,7540.901196388913,153.90827578908488,528.3275746541378,0.004689367993096487,2.1705742230826623,0.0871906867514487,,,32.97989823314886,60,2,4.666729857716423
24,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:12:00.003000Z,2026-09-11T10:13:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,547.9640796965879,2160.9009776803946,53.25229993843273,238.32986074067895,0.009444360542302778,1.7259794745654957,0.20313556695700719,,,34.91688558573396,0,0,1.5251159731207555
25,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:17:00.003000Z,2026-09-11T10:18:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,235.51134031223972,993.0992662782443,20.0120404514081,90.03382275779151,0.007220364063686309,1.552749068617418,0.21612867893100418,,,39.16664890005134,0,0,0.5109459454260808
26,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:21:00.003000Z,2026-09-11T10:22:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,206.90873264724218,738.0994840594791,20.198920747498708,73.0370064445703,0.009530127023239809,1.9031795904886781,-0.055515100398638495,,,39.98403392897924,0,0,0.5051746600499739
27,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:31:00.003000Z,2026-09-11T10:32:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,255.70435435336657,1577.0999765311315,65.31837603719732,421.9112136343314,0.06525210254998211,3.085730842223988,5.089866456657145,,,32.7585123611585,10,0,1.9939359674539063
28,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:34:00.003000Z,2026-09-11T10:35:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,190.1695071678759,844.1000846544772,28.18564924900885,132.69901493213683,0.021967180788463797,1.7215803741347246,0.8071688377202668,,,31.573787361568044,0,0,0.8926914255246023
29,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:36:00.003000Z,2026-09-11T10:37:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,260.80825730885323,834.8997956433926,19.02992662786704,89.97185924393696,0.005323920395191333,2.0190109829147,0.5885301610256501,,,31.573787361568044,0,0,0.6027128266224556
30,,AM,RFD97,00,EHZ,61.1981981981982,-149.9449437586522,2026-09-11T10:42:00.003000Z,2026-09-11T10:43:00.003000Z,100.0,100.0,60.0,,noise,0,Noise,"rule:rms20-45Hz>=2.5xlocal15min,active>=15s,coincident>=2",AM,2-45,122.30302541889569,415.89950573889683,33.24365047392754,122.10445937103901,0.07388274357427216,1.616494139076523,-0.39298592469495164,,,32.7585123611585,0,0,1.01480952820508
