id,prefix,source_stamp,window_id,network,station,channel,start_time_utc,local_time,label,label_name,rule,label_method,event_id,rms,rms_band,band_ratio,kurtosis_band
AM_romig_traffic_2026-09-09__1,AM_romig_traffic_2026-09-09,20260914_130103,1,AM,R1796,EHZ,2026-09-09T09:01:59.996000Z,2026-09-09 01:01 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,292.8,266.1,0.826,3.4
AM_romig_traffic_2026-09-09__11,AM_romig_traffic_2026-09-09,20260914_130103,11,AM,R1796,EHZ,2026-09-09T09:11:59.996000Z,2026-09-09 01:11 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,436.7,384.1,0.774,4.2
AM_romig_traffic_2026-09-09__26,AM_romig_traffic_2026-09-09,20260914_130103,26,AM,R1796,EHZ,2026-09-09T09:26:59.996000Z,2026-09-09 01:26 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,270.1,236.0,0.764,4.8
AM_romig_traffic_2026-09-09__28,AM_romig_traffic_2026-09-09,20260914_130103,28,AM,R1796,EHZ,2026-09-09T09:28:59.996000Z,2026-09-09 01:28 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,259.2,232.1,0.802,5.2
AM_romig_traffic_2026-09-09__45,AM_romig_traffic_2026-09-09,20260914_130103,45,AM,R1796,EHZ,2026-09-09T09:45:59.996000Z,2026-09-09 01:45 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,208.9,164.8,0.622,0.42
AM_romig_traffic_2026-09-09__57,AM_romig_traffic_2026-09-09,20260914_130103,57,AM,R1796,EHZ,2026-09-09T09:57:59.996000Z,2026-09-09 01:57 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,324.8,289.7,0.796,5.33
AM_romig_traffic_2026-09-09__59,AM_romig_traffic_2026-09-09,20260914_130103,59,AM,R1796,EHZ,2026-09-09T09:59:59.996000Z,2026-09-09 01:59 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,413.8,398.9,0.929,23.4
AM_romig_traffic_2026-09-09__103,AM_romig_traffic_2026-09-09,20260914_130103,103,AM,R1796,EHZ,2026-09-09T10:43:59.996000Z,2026-09-09 02:43 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,225.0,191.3,0.723,1.26
AM_romig_traffic_2026-09-09__108,AM_romig_traffic_2026-09-09,20260914_130103,108,AM,R1796,EHZ,2026-09-09T10:48:59.996000Z,2026-09-09 02:48 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,267.4,235.3,0.775,1.45
AM_romig_traffic_2026-09-09__120,AM_romig_traffic_2026-09-09,20260914_130103,120,AM,R1796,EHZ,2026-09-09T11:03:59.996000Z,2026-09-09 03:03 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,204.3,172.2,0.71,2.48
AM_romig_traffic_2026-09-09__127,AM_romig_traffic_2026-09-09,20260914_130103,127,AM,R1796,EHZ,2026-09-09T11:10:59.996000Z,2026-09-09 03:10 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,232.5,205.0,0.778,1.88
AM_romig_traffic_2026-09-09__142,AM_romig_traffic_2026-09-09,20260914_130103,142,AM,R1796,EHZ,2026-09-09T11:25:59.996000Z,2026-09-09 03:25 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,265.7,244.6,0.848,9.49
AM_romig_traffic_2026-09-09__164,AM_romig_traffic_2026-09-09,20260914_130103,164,AM,R1796,EHZ,2026-09-09T11:47:59.996000Z,2026-09-09 03:47 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,322.1,291.3,0.818,2.96
AM_romig_traffic_2026-09-09__178,AM_romig_traffic_2026-09-09,20260914_130103,178,AM,R1796,EHZ,2026-09-09T12:01:59.996000Z,2026-09-09 04:01 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,383.5,358.5,0.874,7.41
AM_romig_traffic_2026-09-09__180,AM_romig_traffic_2026-09-09,20260914_130103,180,AM,R1796,EHZ,2026-09-09T12:03:59.996000Z,2026-09-09 04:03 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,294.3,266.2,0.818,41.74
AM_romig_traffic_2026-09-09__183,AM_romig_traffic_2026-09-09,20260914_130103,183,AM,R1796,EHZ,2026-09-09T12:06:59.996000Z,2026-09-09 04:06 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,397.8,335.7,0.712,7.08
AM_romig_traffic_2026-09-09__187,AM_romig_traffic_2026-09-09,20260914_130103,187,AM,R1796,EHZ,2026-09-09T12:10:59.996000Z,2026-09-09 04:10 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,255.1,215.2,0.712,2.95
AM_romig_traffic_2026-09-09__192,AM_romig_traffic_2026-09-09,20260914_130103,192,AM,R1796,EHZ,2026-09-09T12:15:59.996000Z,2026-09-09 04:15 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,290.5,264.2,0.827,9.12
AM_romig_traffic_2026-09-09__195,AM_romig_traffic_2026-09-09,20260914_130103,195,AM,R1796,EHZ,2026-09-09T12:18:59.996000Z,2026-09-09 04:18 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,407.2,363.0,0.795,11.6
AM_romig_traffic_2026-09-09__200,AM_romig_traffic_2026-09-09,20260914_130103,200,AM,R1796,EHZ,2026-09-09T12:23:59.996000Z,2026-09-09 04:23 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,267.5,209.2,0.611,0.91
AM_romig_traffic_2026-09-09__261,AM_romig_traffic_2026-09-09,20260914_130103,261,AM,R1796,EHZ,2026-09-09T15:24:59.996000Z,2026-09-09 07:24 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,918.6,817.9,0.793,1.33
AM_romig_traffic_2026-09-09__267,AM_romig_traffic_2026-09-09,20260914_130103,267,AM,R1796,EHZ,2026-09-09T15:30:59.996000Z,2026-09-09 07:30 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,965.7,913.7,0.895,1.38
AM_romig_traffic_2026-09-09__316,AM_romig_traffic_2026-09-09,20260914_130103,316,AM,R1796,EHZ,2026-09-09T16:19:59.996000Z,2026-09-09 08:19 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,2109.7,1934.7,0.841,6.22
AM_romig_traffic_2026-09-09__335,AM_romig_traffic_2026-09-09,20260914_130103,335,AM,R1796,EHZ,2026-09-09T16:38:59.996000Z,2026-09-09 08:38 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1902.3,1602.0,0.709,0.88
AM_romig_traffic_2026-09-09__347,AM_romig_traffic_2026-09-09,20260914_130103,347,AM,R1796,EHZ,2026-09-09T16:50:59.996000Z,2026-09-09 08:50 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1517.2,1353.1,0.795,0.86
AM_romig_traffic_2026-09-09__385,AM_romig_traffic_2026-09-09,20260914_130103,385,AM,R1796,EHZ,2026-09-09T17:28:59.996000Z,2026-09-09 09:28 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1832.7,1679.9,0.84,4.65
AM_romig_traffic_2026-09-09__546,AM_romig_traffic_2026-09-09,20260914_130103,546,AM,R1796,EHZ,2026-09-09T20:18:59.996000Z,2026-09-09 12:18 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,2604.1,2365.0,0.825,0.55
AM_romig_traffic_2026-09-09__548,AM_romig_traffic_2026-09-09,20260914_130103,548,AM,R1796,EHZ,2026-09-09T20:20:59.996000Z,2026-09-09 12:20 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1779.3,1632.7,0.842,0.11
AM_romig_traffic_2026-09-09__557,AM_romig_traffic_2026-09-09,20260914_130103,557,AM,R1796,EHZ,2026-09-09T20:32:59.996000Z,2026-09-09 12:32 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1130.4,984.0,0.758,2.91
AM_romig_traffic_2026-09-09__563,AM_romig_traffic_2026-09-09,20260914_130103,563,AM,R1796,EHZ,2026-09-09T20:38:59.996000Z,2026-09-09 12:38 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1097.7,961.8,0.768,0.83
AM_romig_traffic_2026-09-09__596,AM_romig_traffic_2026-09-09,20260914_130103,596,AM,R1796,EHZ,2026-09-09T21:11:59.996000Z,2026-09-09 13:11 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,3341.9,3222.1,0.93,3.23
AM_romig_traffic_2026-09-09__660,AM_romig_traffic_2026-09-09,20260914_130103,660,AM,R1796,EHZ,2026-09-09T22:18:59.996000Z,2026-09-09 14:18 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1293.9,1114.6,0.742,0.98
AM_romig_traffic_2026-09-09__679,AM_romig_traffic_2026-09-09,20260914_130103,679,AM,R1796,EHZ,2026-09-09T22:37:59.996000Z,2026-09-09 14:37 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1197.4,1050.3,0.769,1.56
AM_romig_traffic_2026-09-09__803,AM_romig_traffic_2026-09-09,20260914_130103,803,AM,R1796,EHZ,2026-09-10T00:41:59.996000Z,2026-09-09 16:41 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1703.7,1523.9,0.8,2.53
AM_romig_traffic_2026-09-09__815,AM_romig_traffic_2026-09-09,20260914_130103,815,AM,R1796,EHZ,2026-09-10T00:53:59.996000Z,2026-09-09 16:53 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1366.8,1204.2,0.776,4.73
AM_romig_traffic_2026-09-09__819,AM_romig_traffic_2026-09-09,20260914_130103,819,AM,R1796,EHZ,2026-09-10T00:57:59.996000Z,2026-09-09 16:57 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1208.6,1042.1,0.743,0.37
AM_romig_traffic_2026-09-09__829,AM_romig_traffic_2026-09-09,20260914_130103,829,AM,R1796,EHZ,2026-09-10T01:07:59.996000Z,2026-09-09 17:07 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1433.2,1233.3,0.74,0.6
AM_romig_traffic_2026-09-09__880,AM_romig_traffic_2026-09-09,20260914_130103,880,AM,R1796,EHZ,2026-09-10T01:58:59.996000Z,2026-09-09 17:58 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1933.3,1855.2,0.921,9.29
AM_romig_traffic_2026-09-09__915,AM_romig_traffic_2026-09-09,20260914_130103,915,AM,R1796,EHZ,2026-09-10T02:33:59.996000Z,2026-09-09 18:33 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1070.1,991.3,0.858,3.44
AM_romig_traffic_2026-09-09__935,AM_romig_traffic_2026-09-09,20260914_130103,935,AM,R1796,EHZ,2026-09-10T02:53:59.996000Z,2026-09-09 18:53 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,735.3,646.6,0.773,2.31
AM_romig_traffic_2026-09-09__2,AM_romig_traffic_2026-09-09,20260914_130103,2,AM,R1796,EHZ,2026-09-09T09:02:59.996000Z,2026-09-09 01:02 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,358.4,326.1,0.828,42.6
AM_romig_traffic_2026-09-09__18,AM_romig_traffic_2026-09-09,20260914_130103,18,AM,R1796,EHZ,2026-09-09T09:18:59.996000Z,2026-09-09 01:18 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,583.4,561.8,0.928,85.51
AM_romig_traffic_2026-09-09__64,AM_romig_traffic_2026-09-09,20260914_130103,64,AM,R1796,EHZ,2026-09-09T10:04:59.996000Z,2026-09-09 02:04 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1193.0,1056.5,0.784,5.11
AM_romig_traffic_2026-09-09__70,AM_romig_traffic_2026-09-09,20260914_130103,70,AM,R1796,EHZ,2026-09-09T10:10:59.996000Z,2026-09-09 02:10 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,352.5,331.3,0.883,53.35
AM_romig_traffic_2026-09-09__74,AM_romig_traffic_2026-09-09,20260914_130103,74,AM,R1796,EHZ,2026-09-09T10:14:59.996000Z,2026-09-09 02:14 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,944.2,740.2,0.615,12.19
AM_romig_traffic_2026-09-09__82,AM_romig_traffic_2026-09-09,20260914_130103,82,AM,R1796,EHZ,2026-09-09T10:22:59.996000Z,2026-09-09 02:22 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,410.7,394.3,0.922,57.42
AM_romig_traffic_2026-09-09__86,AM_romig_traffic_2026-09-09,20260914_130103,86,AM,R1796,EHZ,2026-09-09T10:26:59.996000Z,2026-09-09 02:26 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,641.7,496.1,0.598,10.78
AM_romig_traffic_2026-09-09__87,AM_romig_traffic_2026-09-09,20260914_130103,87,AM,R1796,EHZ,2026-09-09T10:27:59.996000Z,2026-09-09 02:27 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1400.4,1382.7,0.975,36.32
AM_romig_traffic_2026-09-09__88,AM_romig_traffic_2026-09-09,20260914_130103,88,AM,R1796,EHZ,2026-09-09T10:28:59.996000Z,2026-09-09 02:28 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,521.1,510.6,0.96,20.2
AM_romig_traffic_2026-09-09__106,AM_romig_traffic_2026-09-09,20260914_130103,106,AM,R1796,EHZ,2026-09-09T10:46:59.996000Z,2026-09-09 02:46 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,810.5,774.8,0.914,22.39
AM_romig_traffic_2026-09-09__112,AM_romig_traffic_2026-09-09,20260914_130103,112,AM,R1796,EHZ,2026-09-09T10:52:59.996000Z,2026-09-09 02:52 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,801.5,784.7,0.958,48.98
AM_romig_traffic_2026-09-09__117,AM_romig_traffic_2026-09-09,20260914_130103,117,AM,R1796,EHZ,2026-09-09T11:00:59.996000Z,2026-09-09 03:00 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,548.1,514.3,0.88,29.92
AM_romig_traffic_2026-09-09__135,AM_romig_traffic_2026-09-09,20260914_130103,135,AM,R1796,EHZ,2026-09-09T11:18:59.996000Z,2026-09-09 03:18 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,976.3,952.0,0.951,23.84
AM_romig_traffic_2026-09-09__138,AM_romig_traffic_2026-09-09,20260914_130103,138,AM,R1796,EHZ,2026-09-09T11:21:59.996000Z,2026-09-09 03:21 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,523.2,509.0,0.946,65.17
AM_romig_traffic_2026-09-09__139,AM_romig_traffic_2026-09-09,20260914_130103,139,AM,R1796,EHZ,2026-09-09T11:22:59.996000Z,2026-09-09 03:22 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,531.9,509.8,0.919,18.98
AM_romig_traffic_2026-09-09__150,AM_romig_traffic_2026-09-09,20260914_130103,150,AM,R1796,EHZ,2026-09-09T11:33:59.996000Z,2026-09-09 03:33 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,492.0,443.0,0.811,22.25
AM_romig_traffic_2026-09-09__155,AM_romig_traffic_2026-09-09,20260914_130103,155,AM,R1796,EHZ,2026-09-09T11:38:59.996000Z,2026-09-09 03:38 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1730.0,1719.1,0.987,33.0
AM_romig_traffic_2026-09-09__158,AM_romig_traffic_2026-09-09,20260914_130103,158,AM,R1796,EHZ,2026-09-09T11:41:59.996000Z,2026-09-09 03:41 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,910.6,885.4,0.945,21.96
AM_romig_traffic_2026-09-09__169,AM_romig_traffic_2026-09-09,20260914_130103,169,AM,R1796,EHZ,2026-09-09T11:52:59.996000Z,2026-09-09 03:52 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,661.2,640.3,0.938,57.29
